Datasource,Campaign,Daily,Clicks,Impressions
Google Ads,GDN_Retargeting,06/29/19,49,24512
Google Ads,GDN_Retargeting,07/02/19,62,33396
Google Ads,GDN_Retargeting,07/05/19,58,38486
Google Ads,GDN_Retargeting,07/08/19,64,47423
Google Ads,GDN_Retargeting,07/11/19,57,49468
Google Ads,GDN_Retargeting,07/14/19,58,33524
Google Ads,GDN_Retargeting,07/17/19,53,35234
Google Ads,GDN_Retargeting,07/20/19,53,40864
Google Ads,GDN_Retargeting,07/23/19,55,40325
Google Ads,GDN_Retargeting,07/26/19,56,36051
Google Ads,GDN_Retargeting,07/29/19,56,35500
Google Ads,GDN_Retargeting,08/01/19,59,51280
Google Ads,GDN_Retargeting,08/04/19,57,43643
Google Ads,GDN_Retargeting,08/07/19,58,49559
Google Ads,GDN_Retargeting,08/10/19,60,37522
Google Ads,GDN_Retargeting,08/13/19,60,49306
Google Ads,GDN_Retargeting,08/16/19,62,45310
Google Ads,GDN_Retargeting,08/19/19,57,46942
Google Ads,GDN_Retargeting,08/22/19,64,38698
Google Ads,GDN_Retargeting,08/25/19,62,53924
Google Ads,GDN_Retargeting,08/28/19,61,50525
Google Ads,GDN_Retargeting,08/31/19,68,43501
Google Ads,GDN_Retargeting,09/03/19,66,52175
Google Ads,GDN_Retargeting,09/06/19,79,53981
Google Ads,GDN_Retargeting,09/09/19,65,51570
Google Ads,GDN_Retargeting,09/12/19,119,115719
Google Ads,GDN_Retargeting,09/15/19,117,112192
Google Ads,GDN_Retargeting,09/18/19,100,130041
Google Ads,GDN_Retargeting,09/21/19,81,67789
Google Ads,GDN_Retargeting,09/24/19,59,63796
Google Ads,GDN_Retargeting,09/27/19,71,69002
Google Ads,GDN_Retargeting,09/30/19,88,61854
Google Ads,GDN_Retargeting,10/03/19,92,90538
Google Ads,GDN_Retargeting,10/06/19,88,67017
Google Ads,GDN_Retargeting,10/09/19,85,68822
Google Ads,GDN_Retargeting,10/12/19,89,83292
Google Ads,GDN_Retargeting,10/15/19,84,86266
Google Ads,GDN_Retargeting,10/18/19,85,76010
Google Ads,GDN_Retargeting,10/21/19,84,62255
Google Ads,GDN_Retargeting,10/24/19,82,82276
Google Ads,GDN_Retargeting,10/27/19,79,62748
Google Ads,GDN_Retargeting,10/30/19,78,50606
Google Ads,GDN_Retargeting,11/02/19,86,58399
Google Ads,GDN_Retargeting,11/05/19,82,51701
Google Ads,GDN_Retargeting,11/08/19,69,49216
Google Ads,GDN_Retargeting,11/11/19,80,55893
Google Ads,GDN_Retargeting,11/14/19,68,49747
Google Ads,GDN_Retargeting,11/17/19,75,43734
Google Ads,GDN_Retargeting,11/20/19,73,64340
Google Ads,GDN_Retargeting,11/23/19,79,50919
Google Ads,GDN_Retargeting,11/26/19,71,72346
Google Ads,GDN_Retargeting,11/29/19,67,58833
Google Ads,GDN_Retargeting,12/02/19,78,64325
Google Ads,GDN_Retargeting,12/05/19,61,56553
Google Ads,GDN_Retargeting,12/08/19,22,16565
Google Ads,GDN_Retargeting,12/11/19,83,57241
Google Ads,GDN_Retargeting,12/14/19,72,56291
Google Ads,GDN_Retargeting,12/17/19,82,51464
Google Ads,GDN_Retargeting,12/20/19,72,59444
Google Ads,GDN_Retargeting,12/23/19,84,57083
Google Ads,GDN_Retargeting,12/26/19,71,43465
Google Ads,GDN_Retargeting,12/29/19,74,45452
Google Ads,GDN_Retargeting,01/01/20,52,27118
Google Ads,GDN_Retargeting,01/04/20,59,48232
Google Ads,GDN_Retargeting,01/07/20,50,32894
Google Ads,GDN_Retargeting,01/10/20,47,32380
Google Ads,GDN_Retargeting,01/13/20,52,38403
Google Ads,GDN_Retargeting,01/16/20,55,32278
Google Ads,GDN_Retargeting,01/19/20,49,22484
Google Ads,GDN_Retargeting,01/22/20,51,31399
Google Ads,GDN_Retargeting,01/25/20,45,22521
Google Ads,GDN_Retargeting,01/28/20,56,34167
Google Ads,GDN_Retargeting,01/31/20,45,37818
Google Ads,GDN_Retargeting,02/03/20,62,41204
Google Ads,GDN_Retargeting,02/06/20,54,49546
Google Ads,GDN_Retargeting,02/09/20,58,36391
Google Ads,GDN_Retargeting,02/12/20,57,36916
Google Ads,Mitgliedschaft KiMi,05/13/19,0,23
Google Ads,Mitgliedschaft KiMi,05/16/19,0,6
Google Ads,Mitgliedschaft KiMi,05/19/19,0,6
Google Ads,Mitgliedschaft KiMi,05/22/19,0,18
Google Ads,Mitgliedschaft KiMi,05/25/19,0,6
Google Ads,Mitgliedschaft KiMi,06/07/19,0,1
Google Ads,Mitgliedschaft KiMi,07/27/19,0,2
Google Ads,Motorrad Mitgliedschaft,03/16/19,6,110025
Google Ads,Motorrad Mitgliedschaft,03/19/19,3,63121
Google Ads,Motorrad Mitgliedschaft,03/22/19,3,55961
Google Ads,Motorrad Mitgliedschaft,03/25/19,3,33030
Google Ads,Motorrad Mitgliedschaft,03/28/19,2,56140
Google Ads,Motorrad Mitgliedschaft,03/31/19,2,36464
Google Ads,Motorrad Mitgliedschaft,04/03/19,0,3323
Google Ads,Motorrad Mitgliedschaft,04/06/19,1,2852
Google Ads,Motorrad Mitgliedschaft,04/09/19,0,288
Google Ads,Motorrad Mitgliedschaft,04/12/19,0,552
Google Ads,Motorrad Mitgliedschaft,04/15/19,0,625
Google Ads,Motorrad Mitgliedschaft,04/18/19,0,199
Google Ads,Motorrad Mitgliedschaft,04/21/19,0,12
Google Ads,Motorrad Mitgliedschaft,04/24/19,0,143
Google Ads,Motorrad Mitgliedschaft,04/27/19,0,33
Google Ads,Motorrad Mitgliedschaft,04/30/19,0,122
Google Ads,Motorrad Mitgliedschaft,05/03/19,0,64
Google Ads,Motorrad Mitgliedschaft,05/06/19,0,418
Google Ads,Motorrad Mitgliedschaft,05/09/19,0,75
Google Ads,Motorrad Mitgliedschaft,05/12/19,0,194
Google Ads,Motorrad Mitgliedschaft,05/15/19,0,80
Google Ads,Motorrad Mitgliedschaft,05/18/19,0,9
Google Ads,Motorrad Mitgliedschaft,05/21/19,0,217
Google Ads,Motorrad Mitgliedschaft,05/24/19,0,14
Google Ads,Motorrad Mitgliedschaft,05/27/19,0,545
Google Ads,Motorrad Mitgliedschaft,05/30/19,0,236
Google Ads,Motorrad Mitgliedschaft,06/12/19,0,688
Google Ads,Motorrad Mitgliedschaft,06/15/19,0,144
Google Ads,Motorrad Mitgliedschaft,06/18/19,0,273
Google Ads,Motorrad Mitgliedschaft,06/21/19,0,199
Google Ads,Motorrad Mitgliedschaft,06/24/19,0,222
Google Ads,Motorrad Mitgliedschaft,06/27/19,0,29
Google Ads,Motorrad Mitgliedschaft,06/30/19,0,104
Google Ads,Motorrad Mitgliedschaft,07/04/19,0,311
Google Ads,Motorrad Mitgliedschaft,07/07/19,0,633
Google Ads,Motorrad Mitgliedschaft,07/10/19,0,70
Google Ads,Motorrad Mitgliedschaft,07/13/19,0,616
Google Ads,Motorrad Mitgliedschaft,07/16/19,0,66
Google Ads,NT ÖCC,11/06/19,0,1
Google Ads,Nulltarif,10/03/19,0,8545
Google Ads,Nulltarif,10/06/19,0,210
Google Ads,Nulltarif,10/09/19,0,2139
Google Ads,Nulltarif,10/12/19,0,12
Google Ads,Nulltarif,10/15/19,0,182
Google Ads,Nulltarif,10/18/19,0,17
Google Ads,Nulltarif,10/23/19,0,36
Google Ads,Nulltarif,10/26/19,0,196
Google Ads,Nulltarif,10/29/19,0,110
Google Ads,Nulltarif,11/01/19,0,162
Google Ads,Nulltarif,11/09/19,0,8
Google Ads,Nulltarif,11/12/19,0,1
Google Ads,Nulltarif,11/16/19,0,1
Google Ads,ÖAMTC App|In-App,01/17/20,58,10969
Google Ads,ÖAMTC App|In-App,01/20/20,49,8490
Google Ads,ÖAMTC App|In-App,01/23/20,64,8340
Google Ads,ÖAMTC App|In-App,01/26/20,52,9721
Google Ads,ÖAMTC App|In-App,01/29/20,36,4572
Google Ads,ÖAMTC App|In-App,02/01/20,34,5158
Google Ads,ÖAMTC App|In-App,02/04/20,52,6554
Google Ads,ÖAMTC App|In-App,02/07/20,65,8922
Google Ads,ÖAMTC App|In-App,02/10/20,104,14853
Google Ads,ÖAMTC App|In-App,02/13/20,72,11171
Google Ads,ÖCC,05/06/19,0,56
Google Ads,ÖCC,05/09/19,1,395
Google Ads,ÖCC,05/12/19,5,2843
Google Ads,ÖCC,05/15/19,5,6827
Google Ads,ÖCC,05/18/19,3,1474
Google Ads,ÖCC,05/21/19,0,516
Google Ads,ÖCC,05/24/19,5,1810
Google Ads,ÖCC,05/27/19,4,1242
Google Ads,ÖCC,05/30/19,2,2846
Google Ads,ÖCC,06/02/19,5,4434
Google Ads,ÖCC,06/05/19,6,2945
Google Ads,ÖCC,06/08/19,3,2295
Google Ads,ÖCC,06/11/19,6,644
Google Ads,ÖCC,06/14/19,6,2535
Google Ads,ÖCC,06/17/19,2,2169
Google Ads,ÖCC,06/20/19,2,2493
Google Ads,ÖCC,06/23/19,4,3406
Google Ads,ÖCC,06/26/19,9,3853
Google Ads,ÖCC,06/29/19,3,2179
Google Ads,ÖCC,07/02/19,1,1470
Google Ads,ÖCC,07/05/19,1,4417
Google Ads,ÖCC,07/08/19,3,2099
Google Ads,ÖCC,07/11/19,1,3603
Google Ads,ÖCC,07/14/19,5,2787
Google Ads,ÖCC,07/17/19,6,4078
Google Ads,ÖCC,07/20/19,8,4563
Google Ads,ÖCC,07/23/19,3,4009
Google Ads,ÖCC,07/26/19,3,3196
Google Ads,ÖCC,07/29/19,1,2002
Google Ads,ÖCC,10/01/19,0,5
Google Ads,ÖCC,10/04/19,0,1
Google Ads,ÖCC,10/08/19,0,1
Google Ads,ÖCC,10/16/19,0,1
Google Ads,ÖCC,10/30/19,0,1
Google Ads,ÖCC,11/08/19,0,1
Google Ads,ÖCC,11/20/19,0,1
Google Ads,ÖCC,11/27/19,0,2
Google Ads,ÖCC,12/16/19,0,263
Google Ads,ÖCC,12/19/19,0,161
Google Ads,ÖCC,12/22/19,1,548
Google Ads,ÖCC,12/25/19,1,7190
Google Ads,Remarketing,01/01/19,14,1593
Google Ads,Remarketing,01/04/19,4,1051
Google Ads,Remarketing,01/07/19,2,1299
Google Ads,Remarketing,01/10/19,221,74432
Google Ads,Remarketing,01/13/19,342,56637
Google Ads,Remarketing,01/16/19,107,32321
Google Ads,Remarketing,01/19/19,143,22103
Google Ads,Remarketing,01/22/19,166,52304
Google Ads,Remarketing,01/25/19,170,55604
Google Ads,Remarketing,01/28/19,161,57971
Google Ads,Remarketing,01/31/19,139,50673
Google Ads,Remarketing,02/03/19,106,35352
Google Ads,Remarketing,02/06/19,149,55195
Google Ads,Remarketing,02/09/19,197,71797
Google Ads,Remarketing,02/12/19,144,59438
Google Ads,Remarketing,02/15/19,8,1190
Google Ads,Remarketing,02/18/19,6,1611
Google Ads,Remarketing,02/21/19,3,1279
Google Ads,Remarketing,02/24/19,4,1677
Google Ads,Remarketing,02/27/19,2,615
Google Ads,Remarketing,03/02/19,6,1023
Google Ads,Remarketing,03/05/19,9,1276
Google Ads,Remarketing,03/08/19,2,1552
Google Ads,Remarketing,03/11/19,8,1870
Google Ads,Remarketing,03/14/19,9,1453
Google Ads,Remarketing,03/17/19,8,1935
Google Ads,Remarketing,03/20/19,7,1170
Google Ads,Remarketing,03/23/19,5,2696
Google Ads,Remarketing,03/26/19,4,1612
Google Ads,Remarketing,03/29/19,5,2045
Google Ads,Remarketing,04/01/19,5,1641
Google Ads,Remarketing,04/04/19,5,1695
Google Ads,Remarketing,04/07/19,7,2526
Google Ads,Remarketing,04/10/19,5,1648
Google Ads,Remarketing,04/13/19,6,1737
Google Ads,Remarketing,04/16/19,13,2650
Google Ads,Remarketing,04/19/19,3,1873
Google Ads,Remarketing,04/22/19,5,922
Google Ads,Remarketing,04/25/19,1,537
Google Ads,Remarketing,04/28/19,5,763
Google Ads,Remarketing,05/01/19,0,232
Google Ads,Remarketing,05/04/19,3,327
Google Ads,Remarketing,05/07/19,1,348
Google Ads,Remarketing,05/10/19,4,343
Google Ads,Remarketing,05/13/19,0,375
Google Ads,Remarketing,05/16/19,2,231
Google Ads,Remarketing,05/19/19,2,293
Google Ads,Remarketing,05/22/19,3,273
Google Ads,Remarketing,05/25/19,1,258
Google Ads,Remarketing,05/28/19,0,266
Google Ads,Remarketing,05/31/19,0,268
Google Ads,Remarketing,06/03/19,2,314
Google Ads,Remarketing,06/06/19,1,250
Google Ads,Remarketing,06/09/19,0,369
Google Ads,Remarketing,06/12/19,26,5878
Google Ads,Remarketing,06/15/19,9,1845
Google Ads,Remarketing,06/18/19,11,3835
Google Ads,Remarketing,06/21/19,10,2494
Google Ads,Remarketing,06/24/19,5,2737
Google Ads,Remarketing,06/27/19,9,3269
Google Ads,Remarketing,06/30/19,8,2481
Google Ads,Remarketing,07/03/19,8,3178
Google Ads,Remarketing,07/06/19,8,1595
Google Ads,Remarketing,07/09/19,15,3605
Google Ads,Remarketing,07/12/19,5,2126
Google Ads,Remarketing,07/15/19,6,2672
Google Ads,Remarketing,07/18/19,9,2421
Google Ads,Remarketing,07/21/19,7,2350
Google Ads,Remarketing,07/24/19,4,2555
Google Ads,Remarketing,07/27/19,6,1820
Google Ads,Remarketing,07/30/19,11,2932
Google Ads,Remarketing,08/02/19,12,2106
Google Ads,Remarketing,08/05/19,9,2845
Google Ads,Remarketing,08/08/19,69,19902
Google Ads,Remarketing,08/11/19,105,39411
Google Ads,Remarketing,08/14/19,103,44672
Google Ads,Remarketing,08/17/19,97,33843
Google Ads,Remarketing,08/20/19,12,4825
Google Ads,Remarketing,08/23/19,22,2999
Google Ads,Remarketing,08/26/19,14,4603
Google Ads,Remarketing,08/29/19,9,3293
Google Ads,Remarketing,09/01/19,8,3172
Google Ads,Remarketing,09/04/19,7,2618
Google Ads,Remarketing,09/07/19,13,2460
Google Ads,Remarketing,09/10/19,33,8260
Google Ads,Remarketing,09/13/19,11,3148
Google Ads,Remarketing,09/16/19,11,3837
Google Ads,Remarketing,09/19/19,11,2909
Google Ads,Remarketing,09/22/19,14,3455
Google Ads,Remarketing,09/25/19,9,2772
Google Ads,Remarketing,09/28/19,13,2612
Google Ads,Remarketing,10/01/19,10,3601
Google Ads,Remarketing,10/04/19,9,3075
Google Ads,Remarketing,10/07/19,11,3942
Google Ads,Remarketing,10/10/19,10,3304
Google Ads,Remarketing,10/13/19,7,3508
Google Ads,Remarketing,10/16/19,13,3540
Google Ads,Remarketing,10/19/19,10,2802
Google Ads,Remarketing,10/22/19,14,3371
Google Ads,Remarketing,10/25/19,8,2994
Google Ads,Remarketing,10/28/19,12,4046
Google Ads,Remarketing,10/31/19,10,2755
Google Ads,Remarketing,11/03/19,17,4306
Google Ads,Remarketing,11/06/19,10,3790
Google Ads,Remarketing,11/09/19,76,22202
Google Ads,Remarketing,11/12/19,74,24942
Google Ads,Remarketing,11/15/19,16,9311
Google Ads,Remarketing,11/18/19,23,7333
Google Ads,Remarketing,11/21/19,17,4393
Google Ads,Remarketing,11/24/19,12,2101
Google Ads,Remarketing,11/27/19,19,2607
Google Ads,Remarketing,11/30/19,3,973
Google Ads,Remarketing,12/03/19,14,2176
Google Ads,Remarketing,12/06/19,4,2018
Google Ads,Remarketing,12/09/19,13,2502
Google Ads,Remarketing,12/12/19,9,1583
Google Ads,Remarketing,12/15/19,11,1207
Google Ads,Remarketing,12/18/19,5,1849
Google Ads,Remarketing,12/21/19,5,1451
Google Ads,Remarketing,12/24/19,7,1411
Google Ads,Remarketing,12/27/19,9,1931
Google Ads,Remarketing,12/30/19,8,2084
Google Ads,RM|SP Gadgets,01/02/19,86,23439
Google Ads,RM|SP Gadgets,01/05/19,107,22944
Google Ads,RM|SP Gadgets,01/08/19,87,18950
Google Ads,RM|SP Gadgets,01/11/19,75,17953
Google Ads,RM|SP Gadgets,01/14/19,89,24174
Google Ads,RM|SP Gadgets,01/17/19,70,20097
Google Ads,RM|SP Gadgets,01/20/19,73,20685
Google Ads,RM|SP Gadgets,01/23/19,89,23335
Google Ads,RM|SP Gadgets,01/26/19,83,23918
Google Ads,RM|SP Gadgets,01/29/19,42,15384
Google Ads,RM|SP Gadgets,02/01/19,72,18095
Google Ads,RM|SP Gadgets,02/04/19,71,21287
Google Ads,RM|SP Gadgets,02/07/19,63,18783
Google Ads,RM|SP Gadgets,02/10/19,80,21345
Google Ads,RM|SP Gadgets,02/13/19,78,21834
Google Ads,RM|SP Gadgets,12/12/19,61,7778
Google Ads,RM|SP Gadgets,12/15/19,80,18005
Google Ads,RM|SP Gadgets,12/18/19,81,12589
Google Ads,RM|SP Gadgets,12/21/19,80,16420
Google Ads,RM|SP Gadgets,12/24/19,51,12856
Google Ads,RM|SP Gadgets,12/27/19,50,15486
Google Ads,RM|SP Gadgets,12/30/19,70,14224
Google Ads,Schutzbrief,02/21/19,0,1
Google Ads,Schutzbrief,05/24/19,0,1
Google Ads,Schutzbrief,10/02/19,0,18
Google Ads,Schutzbrief,10/05/19,0,25
Google Ads,Schutzbrief,10/08/19,1,25
Google Ads,Schutzbrief,10/11/19,0,41
Google Ads,Schutzbrief,10/14/19,4,123
Google Ads,Schutzbrief,10/17/19,2,80
Google Ads,Schutzbrief,10/20/19,0,36
Google Ads,Schutzbrief,10/23/19,0,1
Google Ads,Schutzbrief,11/28/19,0,1
Google Ads,Schutzbrief Image|DN,02/21/19,0,3
Google Ads,Schutzbrief Image|DN,02/26/19,0,3
Google Ads,Schutzbrief Image|DN,03/04/19,0,3
Google Ads,Schutzbrief Image|DN,03/18/19,0,2
Google Ads,Schutzbrief Image|SN,01/03/19,0,5
Google Ads,Schutzbrief Image|SN,01/06/19,0,6
Google Ads,Schutzbrief Image|SN,01/12/19,0,8
Google Ads,Schutzbrief Image|SN,01/16/19,0,8
Google Ads,Schutzbrief Image|SN,01/19/19,0,10
Google Ads,Schutzbrief Image|SN,01/22/19,0,126
Google Ads,Schutzbrief Image|SN,01/25/19,0,113
Google Ads,Schutzbrief Image|SN,01/28/19,0,1
Google Ads,Schutzbrief Image|SN,01/31/19,0,51
Google Ads,Schutzbrief Image|SN,02/03/19,0,19
Google Ads,Schutzbrief Image|SN,02/06/19,0,20
Google Ads,Schutzbrief Image|SN,02/09/19,0,18
Google Ads,Schutzbrief Image|SN,02/12/19,0,6
Google Ads,Schutzbrief Image|SN,02/15/19,0,18
Google Ads,Schutzbrief Image|SN,02/18/19,0,1
Google Ads,Schutzbrief Image|SN,02/21/19,0,9
Google Ads,Schutzbrief Image|SN,02/24/19,0,3
Google Ads,Schutzbrief Image|SN,02/27/19,0,9
Google Ads,Schutzbrief Image|SN,03/02/19,0,3
Google Ads,Schutzbrief Image|SN,03/05/19,0,18
Google Ads,Schutzbrief Image|SN,03/09/19,0,7
Google Ads,Schutzbrief Image|SN,03/14/19,0,2
Google Ads,Schutzbrief Image|SN,03/18/19,0,1
Google Ads,Schutzbrief Image|SN,03/22/19,0,3
Google Ads,Schutzbrief Image|SN,03/28/19,0,2
Google Ads,Schutzbrief Image|SN,03/31/19,0,6
Google Ads,Schutzbrief Image|SN,04/03/19,0,1
Google Ads,Schutzbrief Image|SN,04/09/19,0,6
Google Ads,Schutzbrief Image|SN,04/12/19,0,16
Google Ads,Schutzbrief Image|SN,04/15/19,0,4
Google Ads,Schutzbrief Image|SN,04/18/19,0,63
Google Ads,Schutzbrief Image|SN,04/21/19,0,3
Google Ads,Schutzbrief Image|SN,04/24/19,0,6
Google Ads,Schutzbrief Image|SN,04/27/19,0,15
Google Ads,Schutzbrief Image|SN,05/01/19,0,11
Google Ads,Schutzbrief Image|SN,05/04/19,0,1
Google Ads,Schutzbrief Image|SN,05/07/19,0,10
Google Ads,Schutzbrief Image|SN,05/10/19,0,21
Google Ads,Schutzbrief Image|SN,05/13/19,0,37
Google Ads,Schutzbrief Image|SN,05/16/19,0,23
Google Ads,Schutzbrief Image|SN,05/19/19,0,63
Google Ads,Schutzbrief Image|SN,05/22/19,0,79
Google Ads,Schutzbrief Image|SN,05/25/19,0,34
Google Ads,Schutzbrief Image|SN,05/28/19,0,27
Google Ads,Schutzbrief Image|SN,05/31/19,0,9
Google Ads,Schutzbrief Image|SN,06/03/19,0,39
Google Ads,Schutzbrief Image|SN,06/06/19,0,17
Google Ads,Schutzbrief Image|SN,06/09/19,0,16
Google Ads,Schutzbrief Image|SN,06/12/19,0,5
Google Ads,Schutzbrief Image|SN,06/15/19,0,16
Google Ads,Schutzbrief Image|SN,06/20/19,0,17
Google Ads,Schutzbrief Image|SN,06/25/19,0,2
Google Ads,Schutzbrief Image|SN,06/28/19,0,43
Google Ads,Schutzbrief Image|SN,07/01/19,0,14
Google Ads,Schutzbrief Image|SN,07/04/19,0,6
Google Ads,Schutzbrief Image|SN,07/08/19,0,2
Google Ads,Schutzbrief Image|SN,07/12/19,0,10
Google Ads,Schutzbrief Image|SN,07/16/19,0,9
Google Ads,Schutzbrief Image|SN,07/22/19,0,2
Google Ads,Schutzbrief Image|SN,07/30/19,0,1
Google Ads,Schutzbrief Image|SN,08/02/19,0,2
Google Ads,Schutzbrief Image|SN,08/08/19,0,4
Google Ads,Schutzbrief Image|SN,08/12/19,0,9
Google Ads,Schutzbrief Image|SN,08/17/19,0,1
Google Ads,Schutzbrief Image|SN,08/21/19,0,1
Google Ads,Schutzbrief Image|SN,08/28/19,0,1
Google Ads,Schutzbrief Image|SN,09/02/19,0,11
Google Ads,Schutzbrief Image|SN,09/20/19,0,1
Google Ads,Schutzbrief Image|SN,09/28/19,0,4
Google Ads,Schutzbrief Image|SN,10/01/19,0,4
Google Ads,Schutzbrief Image|SN,10/04/19,0,3
Google Ads,Schutzbrief Image|SN,10/14/19,0,1
Google Ads,Schutzbrief Image|SN,10/27/19,0,1
Google Ads,Schutzbrief Image|SN,10/30/19,0,4
Google Ads,Schutzbrief Image|SN,11/09/19,0,1
Google Ads,Schutzbrief Image|SN,11/15/19,0,1
Google Ads,Schutzbrief Image|SN,11/24/19,0,2
Google Ads,Schutzbrief Image|SN,11/30/19,0,3
Google Ads,Schutzbrief Image|SN,12/13/19,0,2
Google Ads,Schutzbrief Image|SN,12/16/19,0,134
Google Ads,Schutzbrief Image|SN,12/19/19,0,7
Google Ads,Schutzbrief Image|SN,12/22/19,0,3
Google Ads,Schutzbrief Image|SN,12/29/19,0,2
Google Ads,Touring-Set,07/29/19,4,66
Google Ads,Touring-Set,08/01/19,5,538
Google Ads,Touring-Set,08/04/19,6,204
Google Ads,Touring-Set,08/07/19,4,528
Google Ads,Touring-Set,08/10/19,3,106
Google Ads,Touring-Set,08/13/19,3,156
Google Ads,Touring-Set,08/16/19,9,306
Google Ads,Touring-Set,08/19/19,1,70
Google Ads,Touring-Set,08/22/19,1,88
Google Ads,Touring-Set,08/25/19,4,156
Google Ads,Touring-Set,08/28/19,2,124
Google Ads,Touring-Set,08/31/19,5,314
Google Ads,Touring-Set,09/03/19,4,125
Google Ads,Touring-Set,09/06/19,8,166
Google Ads,Touring-Set,09/09/19,8,162
Google Ads,Touring-Set,09/12/19,7,164
Google Ads,Touring-Set,09/15/19,5,122
Google Ads,Touring-Set,09/18/19,7,110
Google Ads,Touring-Set,09/21/19,9,119
Google Ads,Touring-Set,09/24/19,8,177
Google Ads,Touring-Set,09/27/19,5,174
Google Ads,Touring-Set,09/30/19,6,305
Google Ads,Touristik City Guide,08/20/19,1,2457
Google Ads,Touristik City Guide,08/23/19,8,4165
Google Ads,Touristik City Guide,08/26/19,30,9598
Google Ads,Touristik City Guide,08/29/19,52,17076
Google Ads,Touristik Routenplaner,03/14/19,44,1338
Google Ads,Touristik Routenplaner,03/17/19,7,303
Google Ads,Touristik Routenplaner,03/20/19,12,289
Google Ads,Touristik Routenplaner,03/23/19,34,1034
Google Ads,Touristik Routenplaner,03/26/19,21,823
